Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Jordan LoveJ. Love,GB,4,1,-1,-1.00,-0.2,-1,0,0
Wan'Dale RobinsonW. Robinson,NYG,6,2,-1,-0.50,-0.2,4,0,0
Ihmir Smith-MarsetteI. Smith-Marsette,CHI,6,1,-1,-1.00,-0.2,-1,0,0
Tim BoyleT. Boyle,CHI,1,2,-2,-1.00,-2.0,-1,0,0
Ty MontgomeryT. Montgomery,NE,1,2,-2,-1.00,-2.0,0,0,0
Stefon DiggsS. Diggs,BUF,16,1,-3,-3.00,-0.2,-3,0,0
Matthias FarleyM. Farley,LV,17,1,-3,-3.00,-0.2,-3,0,0
Jamie GillanJ. Gillan,NYG,17,2,-3,-1.50,-0.2,0,0,0
Marquez Valdes-ScantlingM. Valdes-Scantling,KC,17,1,-3,-3.00,-0.2,-3,0,0
C.J. BeathardC. Beathard,JAX,4,4,-4,-1.00,-1.0,-1,0,0
Demetric FeltonD. Felton,CLE,8,1,-4,-4.00,-0.5,-4,0,0
Nate SudfeldN. Sudfeld,DET,2,5,-4,-0.80,-2.0,0,0,0
Anthony BrownA. Brown,BAL,2,3,-5,-1.67,-2.5,-1,0,0
Chad HenneC. Henne,KC,3,5,-5,-1.00,-1.7,-1,0,0
Rondale MooreR. Moore,ARI,8,6,-5,-0.83,-0.6,9,0,1
Michael WoodsM. Woods,CLE,10,1,-5,-5.00,-0.5,-5,0,0
Jahan DotsonJ. Dotson,WAS,12,2,-7,-3.50,-0.6,3,0,0
Breshad PerrimanB. Perriman,TB,11,2,-7,-3.50,-0.6,0,0,0
David NjokuD. Njoku,CLE,14,2,-8,-4.00,-0.6,-2,0,0
Jakobi MeyersJ. Meyers,NE,14,2,-11,-5.50,-0.8,7,0,2
DeAndre CarterD. Carter,LAC,17,2,-15,-7.50,-0.9,-5,0,0
Michael DicksonM. Dickson,SEA,17,2,-18,-9.00,-1.1,-8,0,0
